Name,IsLastYear,InLastTeam,Transfer,Year,Team,Age,Position,Games,PA,AtBats,R,H,2BH,3BH,HR,루타수,RBI,SB,CS,BB,HBP,IW,SO,DoublePlay,SacHit,SF,BA,OBP,SLG,OPS,wOBA,wRCplus,WPA,Salary,BattingRAA,StealingRAA,BRRAA,offtotRAA,DefenseRAA,PosRAA,deftotRAA,RAAadj,totRAA,repRun,RAR,RPW,WAA,WARBat,WAROff,WARStar,dWAA,WAR
김지수,FALSE,TRUE,N,2015,넥센,29,2B,104,151,132,23,31,7,0,0,38,13,2,1,9,2,0,27,2,7,1,0.235,0.292,0.288,0.58,0.261,41.2,-0.69,5500,-12,-0.1,4.3,-7.7,-6.1,0.9,-5.1,-13.8,-12.9,8.2,-4.6,10.77,-1.2,-0.48,-0.09,0,-0.56,-0.57
김지수,FALSE,TRUE,N,2016,넥센,30,2B,81,106,91,16,26,5,0,3,40,9,2,2,10,0,0,16,3,4,1,0.286,0.353,0.44,0.793,0.345,88.8,0.2,5500,-1.7,-0.5,0.3,-2,3.4,0.6,4,1.4,2,6,8.1,11.21,0.2,0.29,0.27,0.32,0.3,0.62
김지수,FALSE,TRUE,N,2017,넥센,31,2B,64,40,35,7,6,0,0,1,9,5,0,1,2,0,0,8,0,1,2,0.171,0.205,0.257,0.462,0.2,2.5,-0.06,6200,-5.3,-0.5,-1.2,-7,-0.4,0.4,0,-7.4,-7,2.2,-4.8,10.79,-0.7,-0.32,-0.48,-0.45,-0.04,-0.49
김지수,FALSE,TRUE,N,2018,넥센,32,2B,47,39,34,4,5,0,0,0,5,0,0,1,5,0,0,15,2,0,0,0.147,0.256,0.147,0.404,0.211,9.2,-0.32,6200,-5,-0.5,0.5,-5,-0.5,0.3,-0.3,-5.5,-5.2,2.2,-3,11.11,-0.5,-0.29,-0.29,-0.26,-0.05,-0.31
김지수,TRUE,TRUE,N,2019,키움,33,3B,69,32,30,3,8,2,0,0,10,3,0,0,2,0,0,7,1,0,0,0.267,0.313,0.333,0.646,0.305,80.4,-0.05,6200,-0.7,0,-0.7,-1.5,-0.7,0.3,-0.5,-2.2,-1.9,1.6,-0.4,9.69,-0.2,0.06,-0.02,0.01,-0.07,-0.07
김진곤,FALSE,TRUE,N,2015,kt,28,LF,67,87,85,11,18,1,0,0,19,6,4,2,0,1,0,20,0,1,0,0.212,0.221,0.224,0.445,0.206,2.7,0.04,3500,-11.4,-0.1,-0.3,-11.8,-1.5,-0.9,-2.4,-13.3,-14.2,4.7,-9.5,10.67,-1.3,-0.71,-0.75,-0.83,-0.14,-0.97
김진곤,FALSE,TRUE,N,2016,kt,29,,13,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.25,0.118,-57.6,-0.18,3500,-1.8,0,0.1,-1.7,-0.6,0,-0.6,-2.3,-2.2,0.5,-1.8,11.2,-0.2,-0.12,-0.12,-0.12,-0.05,-0.17
김진곤,FALSE,TRUE,N,2017,kt,30,LF,28,40,39,9,11,1,0,2,18,8,1,0,1,0,0,11,0,0,0,0.282,0.3,0.462,0.762,0.33,86.1,-0.44,3000,-0.8,0.2,0.1,-0.4,1.5,-0.4,1,1,0.6,2.2,2.8,10.82,0.1,0.09,0.13,0.09,0.14,0.22
김진곤,FALSE,TRUE,N,2018,KT,31,RF,19,23,21,4,3,1,0,0,4,0,0,2,2,0,0,3,0,0,0,0.143,0.217,0.19,0.408,0.197,-2,-0.19,3300,-3.3,-1,0.3,-4,-0.5,-0.3,-0.7,-4.5,-4.7,1.3,-3.4,11.05,-0.4,-0.2,-0.27,-0.29,-0.04,-0.33
김진곤,TRUE,TRUE,N,2019,KT,32,CF,19,34,30,4,8,2,0,0,10,6,1,1,2,0,0,8,1,2,0,0.267,0.313,0.333,0.646,0.287,67.2,0.03,3300,-1.3,-0.2,-0.6,-2.2,0.9,-0.2,0.8,-1.2,-1.4,1.7,0.3,9.57,-0.1,0,-0.09,-0.1,0.1,0
김진형,FALSE,FALSE,N,2014,두산,24,3B,28,42,38,5,9,1,0,0,10,5,0,0,3,0,0,7,0,1,0,0.237,0.293,0.263,0.556,0.262,38.3,0.28,2500,-3.7,0,0,-3.7,0.3,-0.4,0,-3.4,-3.8,2.4,-1.4,11.41,-0.3,-0.11,-0.12,-0.15,0.03,-0.12
김진형,FALSE,FALSE,N,2015,두산,25,3B,14,21,18,3,3,2,0,1,8,2,0,0,3,0,0,7,1,0,0,0.167,0.286,0.444,0.73,0.317,91.2,-0.01,3000,-0.3,0,0.5,0.3,-2,-0.1,-2.2,-1.8,-1.9,1.1,-0.8,10.9,-0.2,0.06,0.11,0.1,-0.19,-0.09
김진형,TRUE,TRUE,N,2019,NC,29,1B,11,23,20,2,3,1,0,0,4,2,0,0,0,0,0,4,1,1,2,0.15,0.136,0.2,0.336,0.139,-32.9,-0.35,,-3.6,0,-0.3,-3.8,0,-0.4,-0.4,-3.9,-4.3,1.1,-3.1,9.43,-0.5,-0.29,-0.31,-0.35,0,-0.36
문규현,FALSE,TRUE,N,2002,롯데,19,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131.3,,,-0.3,0,0,-0.3,0,0,0,-0.3,-0.3,0,-0.2,9.95,0,-0.02,-0.02,-0.02,0,-0.02
문규현,FALSE,TRUE,N,2003,롯데,20,,17,44,40,5,8,5,0,0,13,1,0,0,1,2,0,13,0,1,0,0.2,0.256,0.325,0.581,0.26,45.5,,1900,-2.9,0,0,-2.9,0,0,0,-2.9,-2.9,2.2,-0.7,9.95,-0.3,-0.07,-0.07,-0.07,0,-0.07
문규현,FALSE,TRUE,N,2004,롯데,21,,8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,-133.3,,2000,-0.8,-0.4,0,-1.3,0,0,0,-1.3,-1.3,0.2,-1.1,10.03,-0.1,-0.07,-0.11,-0.11,0,-0.11
문규현,FALSE,TRUE,N,2007,롯데,24,3B,25,19,18,2,1,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0.056,0.053,0.056,0.108,0.05,-102.3,,2000,-4.2,0,0,-4.2,0,0.1,0.1,-4.2,-4.2,0.9,-3.3,9.41,-0.4,-0.36,-0.36,-0.35,0,-0.35
문규현,FALSE,TRUE,N,2009,롯데,26,3B,11,18,18,2,3,0,0,1,6,3,0,0,0,0,0,6,1,0,0,0.167,0.167,0.333,0.5,0.211,6.2,,2000,-2.2,0,0,-2.2,0,0.1,0.1,-2.2,-2.2,1,-1.2,10.74,-0.2,-0.12,-0.12,-0.11,0,-0.11
문규현,FALSE,TRUE,N,2010,롯데,27,SS,80,201,173,18,41,8,0,3,58,16,2,1,15,4,1,40,3,6,3,0.237,0.308,0.335,0.643,0.29,65.6,,2600,-8.8,-0.1,-0.4,-9.3,0,2.6,2.6,-9.3,-6.7,10.5,3.8,10.47,-0.6,0.16,0.11,0.36,0,0.36
문규현,FALSE,TRUE,N,2011,롯데,28,SS,125,379,327,40,79,13,3,2,104,39,5,2,28,7,0,60,4,14,3,0.242,0.312,0.318,0.63,0.291,70.5,,4200,-13.1,0.2,0.5,-12.5,0,4.6,4.6,-12.5,-7.8,18.6,10.8,9.8,-0.8,0.56,0.62,1.1,0,1.1
