Name,IsLastYear,InLastTeam,Transfer,Year,Team,Age,Position,Games,PA,AtBats,R,H,2BH,3BH,HR,루타수,RBI,SB,CS,BB,HBP,IW,SO,DoublePlay,SacHit,SF,BA,OBP,SLG,OPS,wOBA,wRCplus,WPA,Salary,BattingRAA,StealingRAA,BRRAA,offtotRAA,DefenseRAA,PosRAA,deftotRAA,RAAadj,totRAA,repRun,RAR,RPW,WAA,WARBat,WAROff,WARStar,dWAA,WAR
윤정우,FALSE,FALSE,Y,2012,LG,24,LF,29,21,21,4,2,0,0,0,2,0,4,1,0,0,0,7,1,0,0,0.095,0.095,0.095,0.191,0.091,-63.9,,2600,-3.7,0.4,0,-3.3,0,-0.2,-0.2,-3.3,-3.5,1,-2.6,9.17,-0.4,-0.3,-0.26,-0.28,0,-0.28
윤정우,FALSE,FALSE,Y,2016,KIA,28,RF,46,82,67,20,20,5,0,2,31,13,6,1,5,7,0,15,2,2,1,0.299,0.4,0.463,0.863,0.385,115.4,0.05,2900,1.7,0.8,-0.2,2.3,-0.6,-1,-1.6,1.7,0.8,4.7,5.4,11.31,0.1,0.49,0.55,0.46,-0.05,0.41
윤정우,TRUE,TRUE,N,2018,SK,30,LF,22,43,40,6,10,2,0,1,15,2,2,1,2,1,0,7,4,0,0,0.25,0.302,0.375,0.677,0.302,68.2,-0.03,3000,-1.9,-0.1,0.5,-1.5,1.3,-0.7,0.6,-0.3,-0.9,2.4,1.5,11.09,-0.1,0,0.04,-0.02,0.11,0.09
이대형,FALSE,FALSE,N,2003,LG,20,,47,58,53,12,13,2,2,0,19,4,7,3,2,0,0,12,0,3,0,0.245,0.273,0.358,0.631,0.269,50.9,,,-3.4,0.2,0.3,-2.9,0,0,0,-2.9,-2.9,2.9,-0.1,9.95,-0.3,-0.05,-0.01,-0.01,0,-0.01
이대형,FALSE,FALSE,N,2004,LG,21,,13,12,11,1,1,0,0,0,1,0,2,1,0,0,0,4,0,1,0,0.091,0.091,0.091,0.182,0.079,-82.3,,2000,-2.6,0,0,-2.7,0,0,0,-2.7,-2.7,0.6,-2.1,10.03,-0.3,-0.2,-0.2,-0.2,0,-0.2
이대형,FALSE,FALSE,N,2005,LG,22,CF,107,142,127,40,34,4,1,0,40,5,37,9,11,1,0,35,2,3,0,0.268,0.331,0.315,0.646,0.302,78.5,,2600,-3.6,3.6,0.8,0.7,0,0.6,0.6,0.7,1.3,7,8.3,9.88,0.1,0.34,0.79,0.84,0,0.84
이대형,FALSE,FALSE,N,2006,LG,23,CF,87,169,155,23,40,3,0,0,43,4,15,8,5,0,0,35,1,9,0,0.258,0.281,0.277,0.559,0.253,51,,3800,-8.7,-0.1,0.4,-8.3,0,0.6,0.6,-8.3,-7.7,7.5,-0.1,8.92,-0.9,-0.12,-0.08,-0.01,0,-0.01
이대형,FALSE,FALSE,N,2007,LG,24,CF,125,509,451,68,139,13,1,1,157,31,53,20,38,5,1,54,3,13,2,0.308,0.367,0.348,0.715,0.334,102.4,,3800,1.4,2.6,1.6,5.5,0,2,2,5.5,7.5,23.9,31.5,9.41,0.8,2.69,3.13,3.35,0,3.35
이대형,FALSE,FALSE,N,2008,LG,25,CF,126,574,523,71,138,5,2,0,147,33,63,15,39,2,1,80,3,9,1,0.264,0.317,0.281,0.598,0.287,66.9,,8000,-22,6.2,2.3,-13.6,0,2.3,2.3,-13.6,-11.2,27.9,16.7,9.73,-1.2,0.6,1.48,1.71,0,1.71
이대형,FALSE,FALSE,N,2009,LG,26,CF,133,597,521,92,146,10,2,2,166,41,64,18,50,0,1,77,8,22,4,0.28,0.341,0.319,0.66,0.301,66.3,,9500,-26.4,4.1,2.4,-20,0,2.7,2.7,-20,-17.3,32.1,14.8,10.74,-1.6,0.53,1.13,1.37,0,1.37
이대형,FALSE,FALSE,N,2010,LG,27,CF,130,568,494,73,129,14,2,1,150,43,66,21,58,2,0,76,3,13,1,0.261,0.341,0.304,0.644,0.305,75,,12000,-18.1,3.6,2.2,-12.2,0,2.5,2.5,-12.2,-9.8,29.7,20,10.47,-0.9,1.11,1.67,1.91,0,1.91
이대형,FALSE,FALSE,N,2011,LG,28,CF,104,398,354,56,88,11,5,1,112,24,34,17,30,2,0,78,0,11,1,0.249,0.31,0.316,0.627,0.292,70.3,,14000,-13.9,-0.3,2.3,-11.8,0,1.6,1.6,-11.8,-10.2,19.5,9.3,9.8,-1,0.57,0.78,0.95,0,0.95
이대형,FALSE,FALSE,N,2012,LG,29,CF,101,291,258,32,46,4,4,1,61,19,25,3,25,1,2,53,5,6,1,0.178,0.253,0.236,0.489,0.232,35.2,,8500,-20.4,3.7,1.3,-15.4,0,1.1,1.1,-15.4,-14.3,13.3,-0.9,9.17,-1.6,-0.77,-0.22,-0.1,0,-0.1
이대형,FALSE,FALSE,N,2013,LG,30,CF,102,204,177,36,42,5,1,1,52,10,13,9,19,1,0,45,1,5,2,0.237,0.312,0.294,0.605,0.287,62,,8500,-9.2,-1.3,0.7,-9.8,0,0.8,0.8,-9.8,-9,10.2,1.2,9.97,-0.9,0.09,0.04,0.12,0,0.12
이대형,FALSE,FALSE,Y,2014,KIA,31,CF,126,505,461,75,149,15,9,1,185,40,22,15,35,2,2,57,5,5,2,0.323,0.372,0.401,0.773,0.353,95.5,0.16,30000,-3.5,-2.9,2.4,-4,-7.5,1.9,-5.6,-11.5,-9.6,28.8,19.2,11.41,-0.8,2.22,2.17,2.34,-0.66,1.68
이대형,FALSE,TRUE,Y,2015,kt,32,CF,140,616,546,86,165,23,3,0,194,37,44,14,53,6,0,92,5,10,1,0.302,0.37,0.355,0.725,0.337,88.9,1.54,30000,-9.6,2.3,2.5,-4.8,-13.7,0.6,-13.1,-18.5,-17.9,33.6,15.7,10.83,-1.7,1.68,2.12,2.18,-1.27,0.91
이대형,FALSE,TRUE,N,2016,kt,33,CF,143,654,600,89,192,14,3,1,215,42,37,20,44,2,0,90,6,7,1,0.32,0.368,0.358,0.726,0.341,86.9,0.25,30000,-12.5,-1.7,3.4,-10.8,-12.8,-0.2,-13,-23.6,-23.8,37.3,13.5,11.27,-2.1,1.61,1.77,1.75,-1.13,0.61
이대형,FALSE,TRUE,N,2017,kt,34,LF,100,366,337,51,90,8,3,0,104,24,23,4,24,0,1,54,8,4,1,0.267,0.315,0.309,0.624,0.287,57.3,-0.75,30000,-21.4,3,3.1,-15.4,-8.3,-2.5,-10.8,-23.6,-26.1,20.1,-6,10.82,-2.4,-0.45,0.1,-0.13,-0.76,-0.89
이대형,FALSE,TRUE,N,2018,KT,35,CF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,20000,0,0,0,0,0,0,0,0,0,0.1,0.1,11.18,0,0,0,0,0,0
이대형,TRUE,TRUE,N,2019,KT,36,,18,19,14,2,2,1,0,0,3,4,0,0,4,0,0,5,0,0,1,0.143,0.316,0.214,0.53,0.271,58.1,-0.1,20000,-0.9,0,-0.4,-1.4,0.3,0,0.3,-1,-1.1,0.9,-0.1,9.62,-0.1,-0.02,-0.06,-0.07,0.04,-0.03
이범호,FALSE,FALSE,N,2000,한화,19,3B,69,86,74,11,12,7,0,1,22,3,1,0,10,1,0,21,2,0,1,0.162,0.267,0.297,0.565,0.263,48.9,,,-5.7,0.2,-0.1,-5.6,0,0.4,0.4,-5.6,-5.2,4.5,-0.7,10.58,-0.5,-0.11,-0.1,-0.06,0,-0.06
이범호,FALSE,FALSE,N,2001,한화,20,3B,71,159,138,22,27,7,1,3,45,16,2,4,11,2,0,25,3,7,1,0.196,0.263,0.326,0.589,0.26,42.4,,2000,-12,-1.4,0.1,-13.3,0,0.7,0.7,-13.3,-12.5,8.6,-4,10.76,-1.2,-0.32,-0.44,-0.37,0,-0.37
